StringtieGene	honeybee.GeneName	dmel.symbol
MSTRG.10099	LOC552056	eIF3l
MSTRG.101	/	/
MSTRG.1010	LOC726920	/
MSTRG.10100	LOC412606	elg1
MSTRG.10101	LOC727502	T48
MSTRG.10102	/	/
MSTRG.10103	LOC727236	CG5098
MSTRG.10104	/	/
MSTRG.10105	/	/
MSTRG.10106	LOC409136	INPP5E
MSTRG.10107	LOC551379	Alg1
MSTRG.10108	LOC102655272	hoip
MSTRG.10109	LOC409470	crol
MSTRG.1011	LOC100576473	/
MSTRG.10110	LOC409332	Usp7
MSTRG.10111	LOC411796	Shmt
MSTRG.10112	LOC411795	CG9853
MSTRG.10113	/	/
MSTRG.10114	LOC551162	CG5466
MSTRG.10115	LOC551114	CG5339
MSTRG.10116	/	/
MSTRG.10117	/	/
MSTRG.10118	/	/
MSTRG.10119	LOC410304	zfh2
MSTRG.1012	/	/
MSTRG.10120	/	/
MSTRG.10121	LOC100577455	/
MSTRG.10122	LOC412247	Mrm2
MSTRG.10123	LOC412972	CG11975
MSTRG.10124	LOC725084	/
MSTRG.10125	LOC725050	CG5280
MSTRG.10126	LOC412842	SH3PX1
MSTRG.10127	LOC724953	CG16790
MSTRG.10128	LOC102653901	/
MSTRG.10129	LOC552308	Sxl
MSTRG.1013	LOC102656611	/
MSTRG.10130	LOC410118	Hsepi
MSTRG.10131	/	/
MSTRG.10132	LOC102654083	Cp190
MSTRG.10133	LOC552367	dysf
MSTRG.10134	/	/
MSTRG.10135	LOC102654481	/
MSTRG.10136	LOC107965285	/
MSTRG.10137	LOC411614	RYa-R
MSTRG.10138	LOC727037	CG5162
MSTRG.10139	/	CG17292
MSTRG.1014	LOC100577918	/
MSTRG.10140	LOC727193	CG17292
MSTRG.10141	LOC412422	MED1
MSTRG.10142	/	/
MSTRG.10143	LOC552313	CG8112
MSTRG.10144	LOC412215	kkv
MSTRG.10145	/	/
MSTRG.10146	LOC551268	Yp3
MSTRG.10147	/	/
MSTRG.10148	LOC724896	CG12341
MSTRG.10149	LOC107963968	Ipp
MSTRG.1015	LOC102656669	/
MSTRG.10150	LOC552482	Ppox
MSTRG.10151	LOC102653702	Taf13
MSTRG.10152	LOC551815	CG12128
MSTRG.10153	LOC107965225	Rpe
MSTRG.10154	LOC409512	ImpL2
MSTRG.10155	/	/
MSTRG.10156	LOC100576225	/
MSTRG.10157	LOC411483	Ufl1
MSTRG.10158	LOC413906	kar
MSTRG.10159	/	/
MSTRG.1016	LOC113219275	/
MSTRG.10160	LOC409695	CG13532
MSTRG.10161	LOC412893	nrm
MSTRG.10162	/	/
MSTRG.10163	LOC113219142	/
MSTRG.10164	/	/
MSTRG.10165	LOC724336	CG31381
MSTRG.10166	LOC100576392	/
MSTRG.10167	/	/
MSTRG.10168	LOC550655	CG32066
MSTRG.10169	LOC724580	CG15449
MSTRG.1017	LOC100576505	/
MSTRG.10170	LOC412865	Mp
MSTRG.10171	LOC409647	Hpr1
MSTRG.10172	/	/
MSTRG.10173	LOC412866	Smurf
MSTRG.10174	LOC410305	Taf12
MSTRG.10175	LOC408345	CG11414
MSTRG.10176	LOC410307	/
MSTRG.10177	LOC410306	Arf4
MSTRG.10178	LOC107965212	sns
MSTRG.10179	LOC113219134	/
MSTRG.1018	LOC100576730	CG30380
MSTRG.10180	LOC107965211	/
MSTRG.10181	/	/
MSTRG.10182	/	/
MSTRG.10183	LOC724954	CG6000
MSTRG.10184	LOC408346	CG6066
MSTRG.10185	LOC410308	Etfb
MSTRG.10186	LOC411364	Epp
MSTRG.10187	/	/
MSTRG.10188	LOC724997	nkd
MSTRG.10189	/	/
MSTRG.1019	LOC107965347	CG30380
MSTRG.10190	LOC100578343	/
MSTRG.10191	LOC408347	/
MSTRG.10192	/	/
MSTRG.10193	LOC724501	Axn
MSTRG.10194	LOC102655842	/
MSTRG.10195	LOC551560	Cyp6g2
MSTRG.10196	LOC413816	Esp
MSTRG.10197	LOC724322	bs
MSTRG.10198	LOC413134	CG4928
MSTRG.10199	LOC724179	ix
MSTRG.102	/	/
MSTRG.1020	/	/
MSTRG.10200	LOC412832	SMC2
MSTRG.10201	LOC413833	Cyp4ac3
MSTRG.10202	LOC552535	Ac13E
MSTRG.10203	LOC413344	Ranbp21
MSTRG.10204	LOC413343	Nup37
MSTRG.10205	LOC724288	rig
MSTRG.10206	LOC552588	Lip1
MSTRG.10207	LOC413133	Hs3st-B
MSTRG.10208	LOC409385	Hecw
MSTRG.10209	RpL32	RpL32
MSTRG.1021	/	/
MSTRG.10210	/	/
MSTRG.10211	LOC411769	Khc
MSTRG.10212	LOC100578581	/
MSTRG.10213	LOC724770	CG7744
MSTRG.10214	E75	Eip75B
MSTRG.10215	/	/
MSTRG.10216	/	/
MSTRG.10217	LOC107965182	/
MSTRG.10218	LOC550794	Rpt6
MSTRG.10219	LOC107963983	CG8939
MSTRG.1022	/	/
MSTRG.10220	LOC107965218	/
MSTRG.10221	LOC408348	/
MSTRG.10222	LOC102656336	/
MSTRG.10223	LOC113219107	/
MSTRG.10224	TRNAV-CAC	/
MSTRG.10225	/	/
MSTRG.10226	LOC113219104	/
MSTRG.10227	/	/
MSTRG.10228	/	/
MSTRG.10229	/	/
MSTRG.1023	/	/
MSTRG.10230	/	/
MSTRG.10231	/	/
MSTRG.10232	LOC100576913	/
MSTRG.10233	/	/
MSTRG.10234	LOC724955	spoon
MSTRG.10235	LOC551324	CG10171
MSTRG.10236	tra2	tra2
MSTRG.10237	LOC412591	Dh31-R
MSTRG.10238	LOC100577014	CG10175
MSTRG.10239	LOC727593	Ugt303B2
MSTRG.1024	LOC413240	CG8314
MSTRG.10240	LOC107965199	Ugt49C1
MSTRG.10241	LOC409203	Ugt317A1
MSTRG.10242	LOC100577699	Mthfs
MSTRG.10243	LOC494508	loqs
MSTRG.10244	LOC725287	Qsox1
MSTRG.10245	LOC725183	CG10344
MSTRG.10246	LOC725323	CG11403
MSTRG.10247	LOC725351	CG10467
MSTRG.10248	/	/
MSTRG.10249	LOC411566	slpr
MSTRG.1025	LOC413239	Vps26
MSTRG.10250	LOC406097	mys
MSTRG.10251	LOC102655407	Rm62
MSTRG.10252	/	/
MSTRG.10253	LOC552309	pcx
MSTRG.10254	LOC100578002	CG3719
MSTRG.10255	/	/
MSTRG.10256	LOC727405	mud
MSTRG.10257	LOC727407	SA1
MSTRG.10258	LOC409531	CG9132
MSTRG.10259	/	/
MSTRG.1026	LOC409739	CG33523
MSTRG.10260	LOC552612	sxc
MSTRG.10261	LOC409518	/
MSTRG.10262	LOC113219138	/
MSTRG.10263	LOC413109	erm
MSTRG.10264	/	/
MSTRG.10265	LOC727424	Tpc1
MSTRG.10266	LOC551667	CG1236
MSTRG.10267	/	/
MSTRG.10268	/	/
MSTRG.10269	/	/
MSTRG.1027	LOC102653708	/
MSTRG.10270	/	/
MSTRG.10271	LOC102655564	/
MSTRG.10272	LOC100577879	CARPA
MSTRG.10273	LOC551113	P5CDh1
MSTRG.10274	LOC413108	Prp40
MSTRG.10275	LOC725689	Golgin245
MSTRG.10276	LOC113219136	CG33506
MSTRG.10277	LOC725821	/
MSTRG.10278	LOC552833	fl(2)d
MSTRG.10279	LOC725951	mus81
MSTRG.1028	LOC100576586	CTCF
MSTRG.10280	LOC726150	Sox21a
MSTRG.10281	/	/
MSTRG.10282	LOC107963960	TfIIS
MSTRG.10283	LOC413668	Rubicon
MSTRG.10284	LOC413667	CycB3
MSTRG.10285	LOC413666	Pex1
MSTRG.10286	Sod2	Sod2
MSTRG.10287	LOC413837	unc-104
MSTRG.10288	LOC412172	Shc
MSTRG.10289	LOC410315	pins
MSTRG.1029	/	/
MSTRG.10290	LOC726180	Sox21b
MSTRG.10291	LOC102653993	D
MSTRG.10292	LOC726225	CG10467
MSTRG.10293	LOC100577456	dpy
MSTRG.10294	/	Cubn
MSTRG.10295	LOC410316	Xe7
MSTRG.10296	LOC410317	SK
MSTRG.10297	/	/
MSTRG.10298	LOC113219069	ap
MSTRG.10299	LOC410318	mfr
MSTRG.103	LOC100576700	dimm
MSTRG.1030	/	/
MSTRG.10300	LOC726415	ap
MSTRG.10301	LOC113219084	/
MSTRG.10302	/	/
MSTRG.10303	/	/
MSTRG.10304	/	/
MSTRG.10305	/	/
MSTRG.10306	LOC113219092	ap
MSTRG.10307	/	ap
MSTRG.10308	LOC102654628	/
MSTRG.10309	/	/
MSTRG.1031	/	/
MSTRG.10310	LOC408349	OXA1L
MSTRG.10311	LOC552791	galla-2
MSTRG.10312	LOC410319	l(2)k09022
MSTRG.10313	LOC726407	CG42255
MSTRG.10314	LOC410320	dysc
MSTRG.10315	Mir3755	/
MSTRG.10316	/	/
MSTRG.10317	/	/
MSTRG.10318	LOC410322	Rgl
MSTRG.10319	/	/
MSTRG.1032	/	/
MSTRG.10320	LOC408351	Axud1
MSTRG.10321	LOC102655299	/
MSTRG.10322	LOC726594	Oli
MSTRG.10323	LOC113219109	Dhc36C
MSTRG.10324	LOC408352	mEFTs
MSTRG.10325	LOC102655353	Dhc36C
MSTRG.10326	LOC552763	Cdc6
MSTRG.10327	LOC410324	qua
MSTRG.10328	/	/
MSTRG.10329	LOC408353	Prosbeta2
MSTRG.1033	/	/
MSTRG.10330	/	Prosbeta2R1
MSTRG.10331	Rpl41	/
MSTRG.10332	LOC100577644	CG18635
MSTRG.10333	LOC552753	pre-mod(mdg4)-E
MSTRG.10334	LOC412277	Rnmt
MSTRG.10335	LOC412750	Top1
MSTRG.10336	/	/
MSTRG.10337	LOC552723	TM9SF4
MSTRG.10338	LOC552716	PGAP5
MSTRG.10339	LOC410325	Mtpalpha
MSTRG.1034	LOC725489	CG40485
MSTRG.10340	LOC409396	CG11030
MSTRG.10341	LOC410326	cbt
MSTRG.10342	LOC726896	CG3257
MSTRG.10343	LOC410332	CG9098
MSTRG.10344	LOC107965200	/
MSTRG.10345	LOC113219108	/
MSTRG.10346	LOC100577801	ush
MSTRG.10347	LOC726800	fs(2)ltoPP43
MSTRG.10348	LOC410328	crol
MSTRG.10349	LOC100577845	Nep3
MSTRG.1035	LOC113219422	/
MSTRG.10350	LOC410330	Pss
MSTRG.10351	LOC410331	Spt6
MSTRG.10352	LOC552651	stai
MSTRG.10353	/	/
MSTRG.10354	LOC408354	NFAT
MSTRG.10355	LOC408355	CG12375
MSTRG.10356	LOC726903	/
MSTRG.10357	LOC726913	CG6870
MSTRG.10358	LOC107965147	jp
MSTRG.10359	LOC408358	Atg17
MSTRG.1036	LOC100578347	/
MSTRG.10360	LOC410334	gcm
MSTRG.10361	LOC410337	CG11034
MSTRG.10362	LOC726963	mei-W68
MSTRG.10363	LOC113219070	CG17684
MSTRG.10364	LOC552460	Tmem18
MSTRG.10365	/	/
MSTRG.10366	LOC408359	vari
MSTRG.10367	LOC102655046	/
MSTRG.10368	/	vari
MSTRG.10369	LOC107965150	/
MSTRG.1037	/	/
MSTRG.10370	LOC410338	CG7011
MSTRG.10371	LOC727012	CG6878
MSTRG.10372	LOC410339	mTerf3
MSTRG.10373	LOC408369	CG10365
MSTRG.10374	LOC107963971	CG14995
MSTRG.10375	/	/
MSTRG.10376	/	/
MSTRG.10377	LOC410347	Bgb
MSTRG.10378	LOC102656595	/
MSTRG.10379	/	/
MSTRG.1038	LOC102654781	/
MSTRG.10380	LOC100578154	/
MSTRG.10381	LOC410348	kat80
MSTRG.10382	LOC102656748	/
MSTRG.10383	LOC410349	CG30010
MSTRG.10384	LOC410350	CG5114
MSTRG.10385	LOC100578317	/
MSTRG.10386	LOC100578357	/
MSTRG.10387	/	/
MSTRG.10388	/	/
MSTRG.10389	LOC102653638	/
MSTRG.1039	LOC107964845	Pura
MSTRG.10390	/	/
MSTRG.10391	/	/
MSTRG.10392	LOC410351	Delta
MSTRG.10393	LOC100578438	/
MSTRG.10394	LOC102653665	/
MSTRG.10395	LOC552447	CG5958
MSTRG.10396	LOC408361	CG10237
MSTRG.10397	/	CG10237
MSTRG.10398	LOC107964020	CG10026
MSTRG.10399	/	/
MSTRG.104	/	/
MSTRG.1040	LOC102654418	/
MSTRG.10400	Ac3	Ac3
MSTRG.10401	/	/
MSTRG.10402	LOC408364	CG14082
MSTRG.10403	LOC408365	serp
MSTRG.10404	/	serp
MSTRG.10405	TRNAY-GUA	/
MSTRG.10406	TRNAY-GUA	/
MSTRG.10407	LOC551323	verm
MSTRG.10408	LOC100577789	verm
MSTRG.10409	LOC408367	ND-51
MSTRG.1041	LOC113219261	/
MSTRG.10410	LOC410340	CG9175
MSTRG.10411	LOC410341	RluA-1
MSTRG.10412	/	/
MSTRG.10413	/	/
MSTRG.10414	LOC552232	/
MSTRG.10415	LOC410343	Nup93-2
MSTRG.10416	LOC410344	Wdr59
MSTRG.10417	LOC552145	Maf1
MSTRG.10418	/	/
MSTRG.10419	LOC408368	Ahcy
MSTRG.1042	LOC113219423	/
MSTRG.10420	LOC725244	Miro
MSTRG.10421	LOC100578540	Chchd2
MSTRG.10422	/	Chchd2
MSTRG.10423	LOC412348	MED19
MSTRG.10424	/	/
MSTRG.10425	LOC102656637	Ank2
MSTRG.10426	LOC102656488	/
MSTRG.10427	LOC409314	/
MSTRG.10428	LOC100578575	mRNA-cap
MSTRG.10429	LOC102656066	/
MSTRG.1043	/	/
MSTRG.10430	LOC100576176	/
MSTRG.10431	/	/
MSTRG.10432	LOC552303	caz
MSTRG.10433	/	/
MSTRG.10434	LOC552715	CG3436
MSTRG.10435	LOC100576646	muc
MSTRG.10436	LOC107965235	/
MSTRG.10437	LOC100576742	Itgbn
MSTRG.10438	LOC412018	Ate1
MSTRG.10439	LOC725462	CG9864
MSTRG.1044	LOC102654265	/
MSTRG.10440	Mir6000a	/
MSTRG.10441	Mir6000b	/
MSTRG.10442	LOC107965228	/
MSTRG.10443	LOC552738	Hacl
MSTRG.10444	LOC102656725	/
MSTRG.10445	LOC412414	Faf2
MSTRG.10446	LOC725615	CG3008
MSTRG.10447	LOC100576532	/
MSTRG.10448	LOC100576773	CG9265
MSTRG.10449	LOC107965236	/
MSTRG.1045	LOC113219258	/
MSTRG.10450	/	/
MSTRG.10451	LOC409260	CG9265
MSTRG.10452	LOC100578759	/
MSTRG.10453	LOC551707	RnpS1
MSTRG.10454	LOC410352	Ino80
MSTRG.10455	LOC102655300	/
MSTRG.10456	/	/
MSTRG.10457	LOC100578547	B52
MSTRG.10458	LOC100578716	swi2
MSTRG.10459	LOC551283	lwr
MSTRG.1046	/	/
MSTRG.10460	/	/
MSTRG.10461	LOC100578439	chas
MSTRG.10462	/	/
MSTRG.10463	/	/
MSTRG.10464	/	/
MSTRG.10465	LOC551735	tay
MSTRG.10466	LOC102655660	/
MSTRG.10467	LOC551683	Zdhhc8
MSTRG.10468	/	/
MSTRG.10469	TpnCIIa	TpnC25D
MSTRG.1047	LOC102653997	/
MSTRG.10470	/	TpnC25D
MSTRG.10471	Hex110	Lsp2
MSTRG.10472	/	Lsp1beta
MSTRG.10473	LOC552689	CG15629
MSTRG.10474	LOC552683	CG8460
MSTRG.10475	LOC725780	caly
MSTRG.10476	LOC102654161	CG42296
MSTRG.10477	LOC113219117	/
MSTRG.10478	/	/
MSTRG.10479	LOC410253	vri
MSTRG.1048	/	/
MSTRG.10480	/	/
MSTRG.10481	LOC107965194	/
MSTRG.10482	TRNAH-GUG	/
MSTRG.10483	/	/
MSTRG.10484	LOC113219110	/
MSTRG.10485	/	/
MSTRG.10486	/	/
MSTRG.10487	LOC552511	Ak3
MSTRG.10488	LOC410258	Sps1
MSTRG.10489	LOC408314	brwl
MSTRG.1049	/	/
MSTRG.10490	LOC408315	Cerk
MSTRG.10491	LOC102655785	/
MSTRG.10492	/	Cerk
MSTRG.10493	/	/
MSTRG.10494	/	/
MSTRG.10495	LOC410259	NfI
MSTRG.10496	LOC107965165	/
MSTRG.10497	LOC102656080	/
MSTRG.10498	/	/
MSTRG.10499	LOC113219095	/
MSTRG.105	/	/
MSTRG.1050	LOC410719	Syx17
MSTRG.10500	LOC408310	/
MSTRG.10501	LOC113219133	/
MSTRG.10502	LOC410254	CG9547
MSTRG.10503	/	/
MSTRG.10504	LOC408311	p120ctn
MSTRG.10505	LOC725952	CG14331
MSTRG.10506	LOC102654792	p120ctn
MSTRG.10507	LOC102654712	/
MSTRG.10508	LOC107965270	Nrk
MSTRG.10509	LOC410255	CG3703
MSTRG.1051	/	/
MSTRG.10510	LOC410256	Lap1
MSTRG.10511	LOC552557	Dbct
MSTRG.10512	LOC113219126	/
MSTRG.10513	mGlutR1	mGluR
MSTRG.10514	LOC410257	Atg4b
MSTRG.10515	LOC726301	Arpc4
MSTRG.10516	LOC100577687	CG18787
MSTRG.10517	LOC408316	/
MSTRG.10518	LOC102656537	/
MSTRG.10519	LOC113219094	/
MSTRG.1052	LOC727243	CG4409
MSTRG.10520	LOC113219113	/
MSTRG.10521	LOC102656683	/
MSTRG.10522	LOC107965290	/
MSTRG.10523	/	/
MSTRG.10524	LOC102656707	/
MSTRG.10525	LOC107965253	/
MSTRG.10526	/	/
MSTRG.10527	/	/
MSTRG.10528	Mir8	/
MSTRG.10529	/	/
MSTRG.1053	LOC727522	CG4409
MSTRG.10530	LOC102656859	/
MSTRG.10531	LOC107965250	CG1239
MSTRG.10532	LOC100578910	/
MSTRG.10533	LOC410261	DCX-EMAP
MSTRG.10534	LOC100577914	DCX-EMAP
MSTRG.10535	/	/
MSTRG.10536	LOC102653824	Nsun5
MSTRG.10537	LOC413942	CG6432
MSTRG.10538	LOC102654090	Marf
MSTRG.10539	LOC102654041	/
MSTRG.1054	LOC725818	/
MSTRG.10540	LOC102653994	/
MSTRG.10541	LOC726506	ncd
MSTRG.10542	LOC552295	CG5885
MSTRG.10543	/	/
MSTRG.10544	TpnCI	TpnC47D
MSTRG.10545	/	TpnC73F
MSTRG.10546	LOC409152	CG2258
MSTRG.10547	LOC726875	CG6454
MSTRG.10548	LOC726861	Ms
MSTRG.10549	LOC413943	Dis3
MSTRG.1055	/	/
MSTRG.10550	LOC413457	Sara
MSTRG.10551	LOC726801	CG8032
MSTRG.10552	LOC409919	Eaat1
MSTRG.10553	LOC107965252	/
MSTRG.10554	LOC113219071	/
MSTRG.10555	LOC408317	spz6
MSTRG.10556	LOC113219128	spz6
MSTRG.10557	LOC726781	Atg10
MSTRG.10558	LOC113219129	/
MSTRG.10559	LOC551073	Ssdp
MSTRG.1056	LOC102654797	/
MSTRG.10560	LOC412944	CG16868
MSTRG.10561	LOC413916	CG11367
MSTRG.10562	LOC100576186	CG11241
MSTRG.10563	LOC726612	ECSIT
MSTRG.10564	LOC100579040	Chpf
MSTRG.10565	LOC411433	Eaf
MSTRG.10566	LOC411457	GlcAT-P
MSTRG.10567	/	/
MSTRG.10568	/	/
MSTRG.10569	LOC409068	AnxB11
MSTRG.1057	/	/
MSTRG.10570	LOC102655688	Alg10
MSTRG.10571	/	/
MSTRG.10572	LOC411458	Art4
MSTRG.10573	LOC409070	Pli
MSTRG.10574	LOC409476	Cbp80
MSTRG.10575	LOC100576153	Or63a
MSTRG.10576	LOC409475	Rpn1
MSTRG.10577	LOC726564	/
MSTRG.10578	LOC113219098	/
MSTRG.10579	LOC411552	GlcT
MSTRG.1058	LOC100578389	CG15712
MSTRG.10580	LOC551734	hay
MSTRG.10581	LOC724502	Taf5
MSTRG.10582	LOC551501	fng
MSTRG.10583	/	/
MSTRG.10584	LOC102654947	fng
MSTRG.10585	LOC107965256	/
MSTRG.10586	/	/
MSTRG.10587	/	/
MSTRG.10588	LOC113219075	/
MSTRG.10589	/	/
MSTRG.1059	/	/
MSTRG.10590	LOC102654866	CG32432
MSTRG.10591	Mir3764	CG32432
MSTRG.10592	LOC102654793	/
MSTRG.10593	LOC100576557	/
MSTRG.10594	LOC102654613	/
MSTRG.10595	LOC107965243	/
MSTRG.10596	LOC102654487	/
MSTRG.10597	LOC102654444	/
MSTRG.10598	LOC410264	Dus2
MSTRG.10599	LOC100576185	spd-2
MSTRG.106	TRNAS-CGA	/
MSTRG.1060	LOC100577905	/
MSTRG.10600	LOC100576286	Snp
MSTRG.10601	LOC410266	RfC3
MSTRG.10602	LOC102653678	/
MSTRG.10603	LOC724877	anchor
MSTRG.10604	LOC113219067	l(3)mbt
MSTRG.10605	LOC724685	Pcmt
MSTRG.10606	LOC410154	CG44153
MSTRG.10607	/	/
MSTRG.10608	LOC102655371	/
MSTRG.10609	LOC724756	/
MSTRG.1061	/	/
MSTRG.10610	LOC551424	Madm
MSTRG.10611	LOC724842	/
MSTRG.10612	LOC409595	CG13868
MSTRG.10613	LOC552769	heix
MSTRG.10614	LOC409877	Mlf
MSTRG.10615	LOC100577344	CG14036
MSTRG.10616	LOC412219	Ube4B
MSTRG.10617	LOC727234	CG8360
MSTRG.10618	LOC409393	mTor
MSTRG.10619	LOC552744	CG3156
MSTRG.1062	LOC725885	luna
MSTRG.10620	LOC727222	PPP4R2r
MSTRG.10621	LOC552733	aurB
MSTRG.10622	LOC551313	CanB2
MSTRG.10623	LOC411505	Pus10
MSTRG.10624	LOC409491	fsd
MSTRG.10625	LOC552714	Cog2
MSTRG.10626	LOC413822	Ubc10
MSTRG.10627	LOC552700	Cul3
MSTRG.10628	LOC551276	Idh
MSTRG.10629	/	Idh
MSTRG.1063	/	/
MSTRG.10630	LOC551964	mmy
MSTRG.10631	LOC409329	Gmppb
MSTRG.10632	LOC100576647	Sse
MSTRG.10633	LOC107965281	Arf6
MSTRG.10634	LOC411862	mRpS2
MSTRG.10635	LOC411863	CG31937
MSTRG.10636	LOC725781	Vps50
MSTRG.10637	LOC409241	CG31221
MSTRG.10638	LOC411861	CG31301
MSTRG.10639	LOC102653856	/
MSTRG.1064	/	/
MSTRG.10640	LOC100576717	/
MSTRG.10641	LOC409636	CG9084
MSTRG.10642	LOC409634	CG2269
MSTRG.10643	LOC410108	CG9932
MSTRG.10644	/	/
MSTRG.10645	LOC727221	Vps13
MSTRG.10646	LOC412046	osa
MSTRG.10647	/	/
MSTRG.10648	LOC551467	Syx18
MSTRG.10649	LOC107965192	Gld2
MSTRG.1065	/	/
MSTRG.10650	LOC409839	Upf1
MSTRG.10651	LOC413261	polo
MSTRG.10652	LOC551061	CG7627
MSTRG.10653	LOC413259	bib
MSTRG.10654	LOC100578596	/
MSTRG.10655	LOC413260	Gli
MSTRG.10656	LOC113219124	CG13326
MSTRG.10657	LOC725245	egr
MSTRG.10658	/	/
MSTRG.10659	LOC102654948	/
MSTRG.1066	/	/
MSTRG.10660	LOC100578745	/
MSTRG.10661	LOC551146	/
MSTRG.10662	LOC725051	CG5789
MSTRG.10663	/	/
MSTRG.10664	LOC550984	CG32206
MSTRG.10665	LOC412409	CG11779
MSTRG.10666	LOC550935	Sf3b3
MSTRG.10667	LOC725822	CG4553
MSTRG.10668	LOC413145	eIF3f1
MSTRG.10669	LOC413144	Arp10
MSTRG.1067	/	/
MSTRG.10670	/	/
MSTRG.10671	LOC552835	Grx5
MSTRG.10672	LOC552838	Rpn12
MSTRG.10673	LOC551211	eEF1gamma
MSTRG.10674	LOC726151	mRpL49
MSTRG.10675	LOC102655980	east
MSTRG.10676	LOC100576421	CG2865
MSTRG.10677	LOC102656667	/
MSTRG.10678	LOC409099	hyd
MSTRG.10679	LOC411553	bun
MSTRG.1068	LOC102654266	/
MSTRG.10680	LOC411554	CG3862
MSTRG.10681	LOC411735	Nup133
MSTRG.10682	LOC725984	CG9380
MSTRG.10683	LOC411734	ValRS
MSTRG.10684	LOC409184	CG18659
MSTRG.10685	LOC102653972	/
MSTRG.10686	LOC100820634	eag
MSTRG.10687	LOC113219077	/
MSTRG.10688	LOC100576585	/
MSTRG.10689	/	/
MSTRG.1069	LOC102654367	/
MSTRG.10690	LOC100576609	/
